Epoch,identity,softmax_gate,zeros,noise_injection,spatial_dropout,scale_small,scale_large,negate,abs,square,sqrt,sign,binarize,tanh_gate,sigmoid_gate,mean_subtract,global_context,reverse,roll,slice_first_half,slice_second_half,linear_skip
0,0.45,0.3,0.72,0.35,0.86,0.84,0.58,0.6,0.59,0.34,0.28,0.32,0.31,0.33,0.29,0.85,0.83,0.58,0.26,0.27,0.25,0.24
1,0.78,0.05,0.6,0.02,0.75,0.76,0.52,0.25,0.4,0.02,0.01,0.05,0.03,0.02,0.01,0.71,0.69,0.26,0.03,0.02,0.01,0.01
2,0.65,0.0,0.49,0.0,0.67,0.69,0.45,0.16,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.6,0.18,0.0,0.0,0.0,0.0
3,0.55,0.0,0.4,0.0,0.6,0.64,0.39,0.14,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.53,0.18,0.0,0.0,0.0,0.0
4,0.47,0.0,0.32,0.0,0.52,0.6,0.34,0.16,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.47,0.18,0.0,0.0,0.0,0.0
5,0.4,0.0,0.27,0.0,0.45,0.57,0.3,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.41,0.19,0.0,0.0,0.0,0.0
6,0.34,0.0,0.22,0.0,0.39,0.54,0.26,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.35,0.2,0.0,0.0,0.0,0.0
7,0.29,0.0,0.18,0.0,0.34,0.52,0.22,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.3,0.21,0.0,0.0,0.0,0.0
8,0.25,0.0,0.14,0.0,0.29,0.5,0.18,0.21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.26,0.22,0.0,0.0,0.0,0.0
9,0.22,0.0,0.11,0.0,0.25,0.49,0.15,0.22,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.22,0.23,0.0,0.0,0.0,0.0
10,0.2,0.0,0.08,0.0,0.22,0.48,0.12,0.24,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.19,0.24,0.0,0.0,0.0,0.0
11,0.18,0.0,0.06,0.0,0.2,0.47,0.11,0.25,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.21500000000000002,0.175,0.245,0.001,0.0,0.0,0.0
12,0.16,0.0,0.04,0.0,0.18,0.46,0.1,0.26,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.16,0.25,0.002,0.0,0.0,0.0
13,0.14,0.0,0.03,0.0,0.16999999999999998,0.45,0.095,0.27,0.20500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.185,0.15000000000000002,0.25,0.003,0.0,0.0,0.0
